,Student Model,Model Path,Dataset,Train Acc,Validation Acc,Augmentation Intensity
0,CNN_JP4,CNN_JP4_8_model.pt,CIFAR10,0.8070799708366394,0.7664999961853027,-1.0
1,CNN_JP4,CNN_JP4_8_model.pt,CIFAR10,0.8000800013542175,0.7641000151634216,0.1
2,CNN_JP4,CNN_JP4_8_model.pt,CIFAR10,0.7880399823188782,0.7591999769210815,0.2
3,CNN_JP4,CNN_JP4_8_model.pt,CIFAR10,0.7609400153160095,0.7415000200271606,0.4
4,CNN_JP4,CNN_JP4_8_model.pt,CIFAR10,0.6989799737930298,0.6843000054359436,0.8
5,CNN_JP4,CNN_JP4_8_model.pt,CIFAR10,0.5567600131034851,0.542900025844574,1.6
