,Student Model,Model Path,Dataset,Train Acc,Validation Acc,Augmentation Intensity
0,CNN_JP4,CNN_JP4_3_model.pt,CIFAR10,0.6937000155448914,0.6782000064849854,-1.0
1,CNN_JP4,CNN_JP4_3_model.pt,CIFAR10,0.6901199817657471,0.6759999990463257,0.1
2,CNN_JP4,CNN_JP4_3_model.pt,CIFAR10,0.6844199895858765,0.6723999977111816,0.2
3,CNN_JP4,CNN_JP4_3_model.pt,CIFAR10,0.658240020275116,0.6516000032424927,0.4
4,CNN_JP4,CNN_JP4_3_model.pt,CIFAR10,0.6103399991989136,0.6025999784469604,0.8
5,CNN_JP4,CNN_JP4_3_model.pt,CIFAR10,0.4939199984073639,0.4862000048160553,1.6
